,concept:name,time:timestamp,case:concept:name
0,A_SUBMITTED,1970-04-27 01:46:41,0
1,A_PARTLYSUBMITTED,1970-04-27 01:46:42,0
2,A_PREACCEPTED,1970-04-27 01:46:43,0
3,W_Completeren aanvraag,1970-04-27 01:46:44,0
4,W_Completeren aanvraag,1970-04-27 01:46:45,0
5,A_ACCEPTED,1970-04-27 01:46:46,0
6,O_SELECTED,1970-04-27 01:46:47,0
7,A_FINALIZED,1970-04-27 01:46:48,0
8,O_CREATED,1970-04-27 01:46:49,0
9,O_SENT,1970-04-27 01:46:50,0
10,W_Nabellen offertes,1970-04-27 01:46:51,0
11,W_Completeren aanvraag,1970-04-27 01:46:52,0
12,W_Nabellen offertes,1970-04-27 01:46:53,0
13,W_Nabellen offertes,1970-04-27 01:46:54,0
14,W_Nabellen offertes,1970-04-27 01:46:55,0
15,W_Nabellen offertes,1970-04-27 01:46:56,0
16,W_Nabellen offertes,1970-04-27 01:46:57,0
17,W_Nabellen offertes,1970-04-27 01:46:58,0
18,W_Nabellen offertes,1970-04-27 01:46:59,0
19,O_SENT_BACK,1970-04-27 01:47:00,0
20,W_Valideren aanvraag,1970-04-27 01:47:01,0
21,W_Nabellen offertes,1970-04-27 01:47:02,0
22,W_Valideren aanvraag,1970-04-27 01:47:03,0
23,W_Nabellen incomplete dossiers,1970-04-27 01:47:04,0
24,W_Valideren aanvraag,1970-04-27 01:47:05,0
25,W_Nabellen incomplete dossiers,1970-04-27 01:47:06,0
26,W_Nabellen incomplete dossiers,1970-04-27 01:47:07,0
27,W_Nabellen incomplete dossiers,1970-04-27 01:47:08,0
28,W_Nabellen incomplete dossiers,1970-04-27 01:47:09,0
29,W_Nabellen incomplete dossiers,1970-04-27 01:47:10,0
30,W_Nabellen incomplete dossiers,1970-04-27 01:47:11,0
31,W_Nabellen incomplete dossiers,1970-04-27 01:47:12,0
32,O_DECLINED,1970-04-27 01:47:13,0
33,A_DECLINED,1970-04-27 01:47:14,0
34,W_Nabellen incomplete dossiers,1970-04-27 01:47:15,0
35,A_SUBMITTED,1970-04-27 01:47:16,1
36,A_PARTLYSUBMITTED,1970-04-27 01:47:17,1
37,A_PREACCEPTED,1970-04-27 01:47:18,1
38,W_Completeren aanvraag,1970-04-27 01:47:19,1
39,W_Completeren aanvraag,1970-04-27 01:47:20,1
40,W_Completeren aanvraag,1970-04-27 01:47:21,1
41,W_Completeren aanvraag,1970-04-27 01:47:22,1
42,W_Completeren aanvraag,1970-04-27 01:47:23,1
43,W_Completeren aanvraag,1970-04-27 01:47:24,1
44,A_ACCEPTED,1970-04-27 01:47:25,1
45,A_FINALIZED,1970-04-27 01:47:26,1
46,O_SELECTED,1970-04-27 01:47:27,1
47,O_CREATED,1970-04-27 01:47:28,1
48,O_SENT,1970-04-27 01:47:29,1
49,W_Nabellen offertes,1970-04-27 01:47:30,1
50,W_Completeren aanvraag,1970-04-27 01:47:31,1
51,W_Nabellen offertes,1970-04-27 01:47:32,1
52,O_SELECTED,1970-04-27 01:47:33,1
53,O_CANCELLED,1970-04-27 01:47:34,1
54,O_CREATED,1970-04-27 01:47:35,1
55,O_SENT,1970-04-27 01:47:36,1
56,W_Nabellen offertes,1970-04-27 01:47:37,1
57,W_Nabellen offertes,1970-04-27 01:47:38,1
58,W_Nabellen offertes,1970-04-27 01:47:39,1
59,O_SENT_BACK,1970-04-27 01:47:40,1
60,W_Valideren aanvraag,1970-04-27 01:47:41,1
61,W_Nabellen offertes,1970-04-27 01:47:42,1
62,W_Valideren aanvraag,1970-04-27 01:47:43,1
63,W_Nabellen incomplete dossiers,1970-04-27 01:47:44,1
64,W_Valideren aanvraag,1970-04-27 01:47:45,1
