,concept:name,time:timestamp,case:concept:name
0,A_SUBMITTED,1970-04-27 01:46:41,0
1,A_PARTLYSUBMITTED,1970-04-27 01:46:42,0
2,A_PREACCEPTED,1970-04-27 01:46:43,0
3,W_Completeren aanvraag,1970-04-27 01:46:44,0
4,W_Completeren aanvraag,1970-04-27 01:46:45,0
5,W_Completeren aanvraag,1970-04-27 01:46:46,0
6,W_Completeren aanvraag,1970-04-27 01:46:47,0
7,W_Completeren aanvraag,1970-04-27 01:46:48,0
8,W_Completeren aanvraag,1970-04-27 01:46:49,0
9,W_Completeren aanvraag,1970-04-27 01:46:50,0
10,W_Completeren aanvraag,1970-04-27 01:46:51,0
11,A_ACCEPTED,1970-04-27 01:46:52,0
12,A_FINALIZED,1970-04-27 01:46:53,0
13,O_SELECTED,1970-04-27 01:46:54,0
14,O_CREATED,1970-04-27 01:46:55,0
15,O_SENT,1970-04-27 01:46:56,0
16,W_Nabellen offertes,1970-04-27 01:46:57,0
17,W_Completeren aanvraag,1970-04-27 01:46:58,0
18,W_Nabellen offertes,1970-04-27 01:46:59,0
19,O_SELECTED,1970-04-27 01:47:00,0
20,O_CANCELLED,1970-04-27 01:47:01,0
21,O_CREATED,1970-04-27 01:47:02,0
22,O_SENT,1970-04-27 01:47:03,0
23,W_Nabellen offertes,1970-04-27 01:47:04,0
24,W_Nabellen offertes,1970-04-27 01:47:05,0
25,W_Nabellen offertes,1970-04-27 01:47:06,0
26,W_Nabellen offertes,1970-04-27 01:47:07,0
27,W_Nabellen offertes,1970-04-27 01:47:08,0
28,W_Nabellen offertes,1970-04-27 01:47:09,0
29,W_Nabellen offertes,1970-04-27 01:47:10,0
30,W_Nabellen offertes,1970-04-27 01:47:11,0
31,W_Nabellen offertes,1970-04-27 01:47:12,0
32,O_SELECTED,1970-04-27 01:47:13,0
33,O_CANCELLED,1970-04-27 01:47:14,0
34,O_CREATED,1970-04-27 01:47:15,0
35,O_SENT,1970-04-27 01:47:16,0
36,W_Nabellen offertes,1970-04-27 01:47:17,0
37,W_Nabellen offertes,1970-04-27 01:47:18,0
38,W_Nabellen offertes,1970-04-27 01:47:19,0
39,W_Nabellen offertes,1970-04-27 01:47:20,0
40,W_Nabellen offertes,1970-04-27 01:47:21,0
41,W_Nabellen offertes,1970-04-27 01:47:22,0
42,W_Nabellen offertes,1970-04-27 01:47:23,0
43,W_Nabellen offertes,1970-04-27 01:47:24,0
44,W_Nabellen offertes,1970-04-27 01:47:25,0
45,W_Nabellen offertes,1970-04-27 01:47:26,0
46,W_Nabellen offertes,1970-04-27 01:47:27,0
47,W_Nabellen offertes,1970-04-27 01:47:28,0
48,W_Nabellen offertes,1970-04-27 01:47:29,0
49,O_SENT_BACK,1970-04-27 01:47:30,0
50,W_Valideren aanvraag,1970-04-27 01:47:31,0
51,W_Nabellen offertes,1970-04-27 01:47:32,0
52,W_Valideren aanvraag,1970-04-27 01:47:33,0
53,O_ACCEPTED,1970-04-27 01:47:34,0
54,A_APPROVED,1970-04-27 01:47:35,0
55,A_REGISTERED,1970-04-27 01:47:36,0
56,A_ACTIVATED,1970-04-27 01:47:37,0
57,W_Valideren aanvraag,1970-04-27 01:47:38,0
58,W_Wijzigen contractgegevens,1970-04-27 01:47:39,0
59,A_SUBMITTED,1970-04-27 01:47:40,1
60,A_PARTLYSUBMITTED,1970-04-27 01:47:41,1
61,A_PREACCEPTED,1970-04-27 01:47:42,1
62,W_Completeren aanvraag,1970-04-27 01:47:43,1
63,W_Completeren aanvraag,1970-04-27 01:47:44,1
64,A_ACCEPTED,1970-04-27 01:47:45,1
65,A_FINALIZED,1970-04-27 01:47:46,1
66,O_SELECTED,1970-04-27 01:47:47,1
